metric,terrain_1,terrain_2,distance
salida_dem_branchLength,himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,nouvelle_aquitanie_45.5_46.0_1.5_2.0,1.1871374512561728
salida_dem_branchLength,himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,1.9241329772808635
salida_dem_branchLength,himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733,2.177748721620371
salida_dem_branchLength,nevada_tile_36.3481537_36.8481537_-115.148718_-114.648718,nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,0.188052826904321
salida_dem_branchLength,nevada_tile_36.3481537_36.8481537_-115.148718_-114.648718,nouvelle_aquitaine_45.0_45.5_1.0_1.5,0.2078803641512345
salida_dem_branchLength,nevada_tile_36.3481537_36.8481537_-115.148718_-114.648718,nouvelle_aquitanie_45.5_46.0_1.5_2.0,0.2570124734907408
salida_dem_branchLength,nevada_tile_36.3481537_36.8481537_-115.148718_-114.648718,sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,0.5789981022499999
salida_dem_branchLength,nevada_tile_36.3481537_36.8481537_-115.148718_-114.648718,sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733,0.8326138465895063
salida_dem_branchLength,nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,nouvelle_aquitaine_45.0_45.5_1.0_1.5,0.14838172139506173
salida_dem_branchLength,nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,nouvelle_aquitanie_45.5_46.0_1.5_2.0,0.13881741562962965
salida_dem_branchLength,nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,0.7666406689382717
salida_dem_branchLength,nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733,1.0202564132777776
salida_dem_branchLength,nouvelle_aquitaine_45.0_45.5_1.0_1.5,nouvelle_aquitanie_45.5_46.0_1.5_2.0,0.1093838033641976
salida_dem_branchLength,nouvelle_aquitaine_45.0_45.5_1.0_1.5,sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,0.6276117226604937
salida_dem_branchLength,nouvelle_aquitaine_45.0_45.5_1.0_1.5,sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733,0.8812274669999994
salida_dem_branchLength,nouvelle_aquitanie_45.5_46.0_1.5_2.0,sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,0.7369955260246916
salida_dem_branchLength,nouvelle_aquitanie_45.5_46.0_1.5_2.0,sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733,0.9906112703641964
salida_dem_branchLength,sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733,0.2536157443395061
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,0.00021698449455762143
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,andes_chile_tile_-27.4034293_-26.9034293_-69.4591329_-68.9591329,0.0007426270918555301
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,0.0007732200111231684
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,0.0002988841085687817
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,0.0001305448273210474
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,nevada_tile_36.3481537_36.8481537_-115.148718_-114.648718,0.0007885468855693464
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,0.0007114583372143349
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,nouvelle_aquitaine_45.0_45.5_1.0_1.5,0.001357353712614344
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,nouvelle_aquitanie_45.5_46.0_1.5_2.0,0.0013586650106005957
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,0.0010857414595281502
salida_dem_curvProfile,alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733,0.0012106475642058947
salida_dem_curvProfile,alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,andes_chile_tile_-27.4034293_-26.9034293_-69.4591329_-68.9591329,0.0006645258502406968
salida_dem_curvProfile,alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,0.0006992589356717617
